gameid	time	trialNum	intendedTarget	clickedObject	outcome	pose	condition	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	png
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499461816607	1	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	sparrow	sparrow	clickedObj	1	34	further	sparrow	2	2	bluesport	1	3	woven	3	4	doberman	4	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499461874450	2	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	goldenretriever	goldenretriever	clickedObj	1	25	closer	goldenretriever	2	4	chihuahua	3	1	weimaraner	1	2	basset	4	3
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499461895582	3	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	bluejay	bluejay	clickedObj	1	26	further	bluejay	4	3	redsport	3	2	squat	1	4	bloodhound	2	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499461916787	4	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	tomtit	tomtit	clickedObj	1	21	further	tomtit	4	3	beetle	3	2	knob	1	1	bullmastiff	2	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499461987720	5	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	inlay	inlay	clickedObj	1	17	closer	inlay	2	2	sling	3	3	straight	4	1	leather	1	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462004867	6	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	pigeon	pigeon	clickedObj	1	5	further	pigeon	2	2	bluesedan	4	3	waiting	1	1	pug	3	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462080166	7	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	crow	crow	clickedObj	1	33	closer	crow	1	3	nightingale	4	4	robin	2	1	cuckoo	3	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462121905	8	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	redantique	redantique	clickedObj	1	1	closer	redantique	2	2	white	4	4	hatchback	3	3	brown	1	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462219632	9	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	sling	sling	clickedObj	1	38	closer	sling	3	2	inlay	2	3	straight	1	4	leather	4	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462326721	10	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	white	white	clickedObj	1	19	closer	white	4	1	redantique	2	2	hatchback	3	3	brown	1	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462371757	11	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	bluesport	bluesport	clickedObj	1	15	further	bluesport	1	3	sparrow	3	1	woven	4	4	doberman	2	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462452984	12	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	chihuahua	chihuahua	clickedObj	1	36	closer	chihuahua	1	1	goldenretriever	3	2	weimaraner	2	4	basset	4	3
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462481027	13	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	nightingale	nightingale	clickedObj	1	31	closer	nightingale	2	4	crow	1	1	robin	3	3	cuckoo	4	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462494706	14	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	bluesedan	bluesedan	clickedObj	1	13	further	bluesedan	4	1	pigeon	1	3	waiting	3	4	pug	2	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462511984	15	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	beetle	beetle	clickedObj	1	39	further	beetle	4	2	tomtit	2	3	knob	1	1	bullmastiff	3	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462528130	16	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	redsport	redsport	clickedObj	1	24	further	redsport	1	1	bluejay	4	2	squat	3	3	bloodhound	2	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462552458	17	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	waiting	waiting	clickedObj	1	8	further	waiting	4	1	pigeon	2	2	bluesedan	1	3	pug	3	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462565074	18	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	woven	woven	clickedObj	1	14	further	woven	3	4	sparrow	2	1	bluesport	4	3	doberman	1	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462603287	19	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	straight	straight	clickedObj	1	29	closer	straight	2	3	inlay	3	4	sling	1	1	leather	4	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462614050	20	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	squat	squat	clickedObj	1	11	further	squat	2	2	bluejay	3	3	redsport	1	1	bloodhound	4	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462665501	21	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	robin	robin	clickedObj	1	28	closer	robin	3	3	crow	4	2	nightingale	2	4	cuckoo	1	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462675835	22	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	knob	knob	clickedObj	1	16	further	knob	4	2	tomtit	1	3	beetle	2	4	bullmastiff	3	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462730020	23	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	hatchback	hatchback	clickedObj	1	0	closer	hatchback	4	4	redantique	3	1	white	2	3	brown	1	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462810982	24	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	weimaraner	weimaraner	clickedObj	1	32	closer	weimaraner	4	4	goldenretriever	3	2	chihuahua	2	3	basset	1	1
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462826195	25	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	doberman	doberman	clickedObj	1	20	further	doberman	1	1	sparrow	4	3	bluesport	3	2	woven	2	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462862676	26	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	leather	leather	clickedObj	1	22	closer	leather	2	3	inlay	3	4	sling	4	1	straight	1	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462874730	27	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	bullmastiff	bullmastiff	clickedObj	1	7	further	bullmastiff	2	3	tomtit	4	1	beetle	3	2	knob	1	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462891412	28	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	pug	pug	clickedObj	1	10	further	pug	1	1	pigeon	2	4	bluesedan	4	2	waiting	3	3
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462906238	29	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	bloodhound	bloodhound	clickedObj	1	3	further	bloodhound	4	3	bluejay	1	1	redsport	2	4	squat	3	2
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499462952021	30	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	brown	brown	clickedObj	1	30	closer	brown	4	2	redantique	2	1	white	3	4	hatchback	1	3
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499463071977	31	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	cuckoo	cuckoo	clickedObj	1	9	closer	cuckoo	4	2	crow	2	3	nightingale	1	1	robin	3	4
pilot0	5767-979a3a3b-b0c6-4113-bfbf-5a37bcf9be29	1499463138505	32	A1ISA2OZKC2OA0	3L2IS5HSFBWP40DU9BI1OFD838GUNR	basset	basset	clickedObj	1	18	closer	basset	4	4	goldenretriever	3	1	chihuahua	1	3	weimaraner	2	2
